task,model,chance,overt_acc,overt_acc_std,covert_acc,covert_acc_std,acc_drop,overt_kappa,covert_kappa
semantic_category,EEGNet,0.1667,0.188294,0.024671,0.209524,0.030059,-0.02123,0.025952,0.051429
semantic_category,ShallowNet,0.1667,0.177778,0.013155,0.176786,0.0152,0.000992,0.013333,0.012143
semantic_category,Deep4Net,0.1667,0.174603,0.010904,0.174008,0.009827,0.000595,0.009524,0.00881
semantic_category,Conformer,0.1667,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0
semantic_category,LaBraM,0.1667,0.169246,0.00426,0.169841,0.008838,-0.000595,0.003095,0.00381
semantic_category,EEGMamba,0.1667,0.18869,0.014865,0.198016,0.017862,-0.009325,0.026429,0.037619
word,EEGNet,0.0167,0.027976,0.006922,0.027976,0.007677,0.0,0.011501,0.011501
word,ShallowNet,0.0167,0.020238,0.005499,0.021429,0.004972,-0.00119,0.003632,0.004843
word,Deep4Net,0.0167,0.019643,0.003993,0.02123,0.005313,-0.001587,0.003027,0.004641
word,Conformer,0.0167,0.016667,0.0,0.016667,0.0,0.0,0.0,0.0
word,LaBraM,0.0167,0.019444,0.005035,0.019048,0.003459,0.000397,0.002825,0.002421
word,EEGMamba,0.0167,0.02877,0.007899,0.028373,0.009401,0.000397,0.012308,0.011905
