task,model,subject,session,accuracy,balanced_accuracy,f1_score,kappa,loss,n_subjects,loso_acc_mean,loso_acc_std,loso_balacc_mean,loso_f1_mean,loso_kappa_mean
semantic_category,Deep4Net,01,01,0.175,0.175,0.076905,0.01,-205.84863,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,02,01,0.175,0.175,0.08497,0.01,-6919.53654,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,03,01,0.183333,0.183333,0.116855,0.02,-417.378952,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,04,01,0.166667,0.166667,0.047619,0.0,-257.011648,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,04,02,0.166667,0.166667,0.047619,0.0,-211.838402,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,05,01,0.177778,0.177778,0.082372,0.013333,-268.518448,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,05,02,0.166667,0.166667,0.078118,0.0,-346.720662,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,06,01,0.175,0.175,0.072675,0.01,-13894.431641,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,07,01,0.169444,0.169444,0.057605,0.003333,-168.004425,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,08,01,0.177778,0.177778,0.082415,0.013333,-15346.698568,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,09,01,0.166667,0.166667,0.047619,0.0,-299.487834,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,09,02,0.166667,0.166667,0.047619,0.0,-384.847295,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,10,01,0.183333,0.183333,0.082401,0.02,-1630.045715,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,11,01,0.180556,0.180556,0.086423,0.016667,-7968.49235,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,12,01,0.177778,0.177778,0.086691,0.013333,-4138.573853,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,12,02,0.180556,0.180556,0.088985,0.016667,-4150.033407,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,13,01,0.169444,0.169444,0.053253,0.003333,-160.70946,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,13,02,0.169444,0.169444,0.053253,0.003333,-164.01914,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,Deep4Net,14,01,0.166667,0.166667,0.047619,0.0,-248.962626,14,0.174306,0.005768,0.174306,0.073174,0.009167
semantic_category,EEGConformer,01,01,0.166667,0.166667,0.047619,0.0,-6888089.916667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,02,01,0.166667,0.166667,0.047619,0.0,-6592841.25,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,03,01,0.166667,0.166667,0.047619,0.0,-6655373.916667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,04,01,0.166667,0.166667,0.047619,0.0,-4126044.791667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,04,02,0.166667,0.166667,0.047619,0.0,-4126924.333333,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,05,01,0.166667,0.166667,0.047619,0.0,-4152313.333333,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,05,02,0.166667,0.166667,0.047619,0.0,-4155006.791667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,06,01,0.166667,0.166667,0.047619,0.0,-6829032.833333,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,07,01,0.166667,0.166667,0.047619,0.0,-6756597.666667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,08,01,0.166667,0.166667,0.047619,0.0,-6600877.5,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,09,01,0.166667,0.166667,0.047619,0.0,-4174359.791667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,09,02,0.166667,0.166667,0.047619,0.0,-4173435.125,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,10,01,0.166667,0.166667,0.047619,0.0,-6924753.416667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,11,01,0.166667,0.166667,0.047619,0.0,-6759938.916667,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,12,01,0.166667,0.166667,0.047619,0.0,-4433063.25,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,12,02,0.166667,0.166667,0.047619,0.0,-4433513.583333,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,13,01,0.166667,0.166667,0.047619,0.0,-4666867.0,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,13,02,0.166667,0.166667,0.047619,0.0,-4665687.083333,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGConformer,14,01,0.166667,0.166667,0.047619,0.0,-6911601.083333,14,0.166667,0.0,0.166667,0.047619,0.0
semantic_category,EEGMamba,01,01,0.194444,0.194444,0.169254,0.033333,1.954738,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,02,01,0.197222,0.197222,0.163502,0.036667,2.220695,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,03,01,0.211111,0.211111,0.210489,0.053333,7.540211,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,04,01,0.177778,0.177778,0.106327,0.013333,1.805535,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,04,02,0.211111,0.211111,0.132088,0.053333,1.793208,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,05,01,0.166667,0.166667,0.047619,0.0,1.802652,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,05,02,0.166667,0.166667,0.047619,0.0,1.801856,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,06,01,0.180556,0.180556,0.079348,0.016667,1.858228,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,07,01,0.208333,0.208333,0.184658,0.05,1.833444,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,08,01,0.208333,0.208333,0.202776,0.05,4.84384,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,09,01,0.194444,0.194444,0.129904,0.033333,1.794877,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,09,02,0.175,0.175,0.135344,0.01,1.798905,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,10,01,0.213889,0.213889,0.213365,0.056667,5.415919,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,11,01,0.191667,0.191667,0.141855,0.03,1.793652,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,12,01,0.183333,0.183333,0.077352,0.02,1.796909,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,12,02,0.175,0.175,0.065674,0.01,1.797608,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,13,01,0.177778,0.177778,0.165744,0.013333,1.929071,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,13,02,0.186111,0.186111,0.162711,0.023333,1.899256,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGMamba,14,01,0.194444,0.194444,0.192659,0.033333,2.986573,14,0.193353,0.013334,0.193353,0.149507,0.032024
semantic_category,EEGNetv4,01,01,0.208333,0.208333,0.204177,0.05,1.792754,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,02,01,0.177778,0.177778,0.156822,0.013333,1.791296,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,03,01,0.186111,0.186111,0.180337,0.023333,1.794208,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,04,01,0.211111,0.211111,0.210832,0.053333,1.830824,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,04,02,0.183333,0.183333,0.180663,0.02,1.847681,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,05,01,0.166667,0.166667,0.164401,0.0,1.805513,14,0.198909,0.015715,0.198909,0.185733,0.03869
